Strike	Symbol	Last	Chg	Bid	Ask	Vol	Open Int
15.00	CREE130622C00015000	19.68	0.00	36.10	40.05	0	6
19.00	CREE130622C00019000	11.40	0.00	32.10	36.05	0	10
20.00	CREE130622C00020000	29.25	0.00	31.05	35.05	1	11
21.00	CREE130622C00021000	9.70	0.00	30.05	34.05	0	1
23.00	CREE130622C00023000	9.20	0.00	28.05	32.05	0	3
25.00	CREE130622C00025000	25.61	0.00	27.65	28.80	6	24
26.00	CREE130622C00026000	7.16	0.00	25.65	28.00	0	2
27.00	CREE130622C00027000	18.26	0.00	24.65	27.00	1	45
28.00	CREE130622C00028000	25.54	0.00	24.65	25.50	2	42
29.00	CREE130622C00029000	24.13	0.00	22.65	24.85	1	43
30.00	CREE130622C00030000	23.75	0.00	23.40	23.55	11	133
31.00	CREE130622C00031000	21.60	0.00	22.15	22.65	1	83
32.00	CREE130622C00032000	22.30	0.00	21.40	21.70	1	945
33.00	CREE130622C00033000	16.55	0.00	20.30	20.75	14	133
34.00	CREE130622C00034000	20.25	0.00	19.50	19.65	2	274
35.00	CREE130622C00035000	18.65	0.00	18.50	18.70	7	358
36.00	CREE130622C00036000	15.50	0.00	17.30	17.85	10	246
37.00	CREE130622C00037000	14.10	0.00	16.45	16.95	4	179
38.00	CREE130622C00038000	14.20	0.00	15.50	15.95	10	283
39.00	CREE130622C00039000	11.35	0.00	14.55	15.00	1	223
40.00	CREE130622C00040000	13.45	0.00	13.70	14.00	4	983
41.00	CREE130622C00041000	13.25	0.00	12.95	13.10	1	1,050
42.00	CREE130622C00042000	11.97	0.00	12.00	12.25	4	336
43.00	CREE130622C00043000	11.60	0.00	11.20	11.35	10	226
44.00	CREE130622C00044000	9.55	0.95	10.35	10.55	1	237
45.00	CREE130622C00045000	9.95	0.00	9.60	9.75	3	515
46.00	CREE130622C00046000	9.30	0.00	8.80	8.95	70	620
47.00	CREE130622C00047000	7.65	0.75	8.10	8.20	19	756
48.00	CREE130622C00048000	7.43	0.27	7.35	7.50	39	457
49.00	CREE130622C00049000	6.69	0.09	6.70	6.80	1	818
50.00	CREE130622C00050000	5.40	0.40	6.05	6.15	12	1,147
52.50	CREE130622C00052500	4.70	0.16	4.65	4.75	77	2,355
55.00	CREE130622C00055000	3.35	0.05	3.45	3.55	31	1,787
57.50	CREE130622C00057500	2.60	0.13	2.54	2.60	21	468
60.00	CREE130622C00060000	1.60	0.32	1.81	1.86	21	2,359
62.50	CREE130622C00062500	1.12	0.25	1.26	1.32	11	268
65.00	CREE130622C00065000	0.90	0.11	0.88	0.92	26	730
70.00	CREE130622C00070000	0.44	0.05	0.41	0.44	1	397
75.00	CREE130622C00075000	0.21	0.00	0.19	0.22	31	58
80.00	CREE130622C00080000	0.11	0.00	0.10	0.12	1	90
