Strike	Symbol	Last	Chg	Bid	Ask	Vol	Open Int
4.00	SPWR130518C00004000	7.75	0.00	6.05	6.40	0	10
5.00	SPWR130518C00005000	7.30	0.00	5.10	5.35	0	10
7.00	SPWR130518C00007000	3.20	0.00	3.20	3.30	10	10
8.00	SPWR130518C00008000	2.40	0.00	2.38	2.46	5	36
9.00	SPWR130518C00009000	1.75	0.08	1.67	1.75	17	138
10.00	SPWR130518C00010000	1.18	0.04	1.12	1.16	32	260
11.00	SPWR130518C00011000	0.72	0.03	0.72	0.76	212	1,405
12.00	SPWR130518C00012000	0.50	0.00	0.45	0.49	59	712
13.00	SPWR130518C00013000	0.28	0.07	0.28	0.31	28	512
14.00	SPWR130518C00014000	0.21	0.10	0.17	0.20	8	251
15.00	SPWR130518C00015000	0.14	0.01	0.10	0.13	15	399
16.00	SPWR130518C00016000	0.18	0.00	N/A	0.15	20	20
17.00	SPWR130518C00017000	0.14	0.00	N/A	0.13	10	26
